Rsi_limit,Count_deal,Max_growth_deal,Max_drawdown_deal,Max_growth_depo,Max_drawdown_depo,Avg_profit_deal,Avg_loss_deal,Winrate
(30 - 70),9543,8.73,24.08,224.49,70.33,0.49,-0.97,67.68
(29 - 71),8373,8.73,24.01,236.41,43.09,0.53,-1.04,67.83
(28 - 72),7255,7.26,24.01,267.12,64.9,0.58,-1.13,68.06
(27 - 73),6235,10.68,24.18,282.87,49.8,0.64,-1.2,67.47
(26 - 74),5377,10.68,24.01,234.72,56.11,0.68,-1.3,67.25
(25 - 75),4619,10.68,23.92,227.57,52.2,0.74,-1.42,67.33
(24 - 76),3855,9.06,23.92,160.74,57.5,0.81,-1.58,67.6
(23 - 77),3282,15.85,23.92,182.27,61.48,0.91,-1.72,67.09
(22 - 78),2744,15.72,32.4,89.82,54.17,1.0,-1.83,65.34
(21 - 79),2260,15.72,31.97,104.64,66.46,1.1,-2.01,65.13
(20 - 80),1810,16.82,31.04,104.24,99.18,1.26,-2.18,63.65
(19 - 81),1530,15.72,31.04,77.93,112.62,1.32,-2.46,64.58
(18 - 82),1266,17.71,27.83,111.5,128.44,1.47,-2.65,64.93
(17 - 83),1030,26.92,27.83,176.65,162.09,1.65,-2.81,63.79
(16 - 84),846,25.13,27.68,202.46,96.06,1.86,-2.95,64.42
(15 - 85),684,26.03,27.68,210.02,122.87,2.06,-3.14,63.45
(14 - 86),531,26.08,34.41,117.52,123.6,2.1,-3.61,63.28
(13 - 87),399,26.09,34.41,77.84,72.7,2.54,-4.55,64.41
(12 - 88),299,26.09,46.96,87.26,114.78,2.8,-4.84,61.2
(11 - 89),221,48.51,64.29,140.29,81.74,3.75,-5.45,62.44
(10 - 90),169,48.51,63.68,176.48,82.05,4.59,-6.3,63.31
(9 - 91),107,31.09,112.26,112.86,101.97,5.41,-9.07,57.94
(8 - 92),77,30.51,112.26,96.21,120.08,6.09,-11.38,58.44
(7 - 93),44,34.19,112.26,70.54,162.51,6.95,-17.13,56.82
(6 - 94),28,33.22,84.78,43.75,180.91,8.35,-32.0,67.86
(5 - 95),14,67.31,49.63,157.0,32.0,21.15,-16.0,71.43
(4 - 96),8,66.02,54.4,58.8,67.79,56.16,-20.22,25.0
(3 - 97),2,66.02,54.25,92.05,0.0,46.02,,100.0
(2 - 98),2,66.02,54.25,92.05,0.0,46.02,,100.0
(1 - 99),2,66.02,54.25,92.05,0.0,46.02,,100.0
(0 - 100),0,138.1,46.47,0.0,0.0,,,
