Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
164,"311,73","39,02",8,0,"-466,29999999999995",64,"778,0300000000001","5,10,5"
122,"280,66","44,26",7,0,"-438,7799999999998",54,"719,4399999999998","5,10,10"
112,"352,84","42,86",5,0,"-342,8900000000001",48,"695,7299999999999","5,10,15"
109,"361,23","44,95",5,0,"-305,6300000000001",49,"666,8599999999998","5,10,20"
110,"282,54",40,7,0,"-366,89000000000004",44,"649,4299999999998","5,10,25"
90,"254,87","41,11",7,0,"-339,81000000000006",37,"594,68","5,10,30"
91,"208,76","36,26",7,0,"-378,61000000000024",33,"587,37","5,10,35"
87,"153,66","36,78",7,0,"-393,2600000000001",32,"546,9200000000001","5,10,40"
160,"325,87","37,5",9,0,"-455,56999999999977",60,"781,4400000000004","5,15,5"
114,"331,14","42,11",5,0,"-354,9900000000001",48,"686,1299999999999","5,15,10"
108,"244,34","38,89",5,0,"-373,11",42,"617,4499999999999","5,15,15"
93,"244,74","40,86",7,0,"-356,71",38,"601,4499999999999","5,15,20"
89,"121,46","34,83",5,0,"-411,9100000000001",31,"533,3699999999999","5,15,25"
79,"149,43","36,71",5,0,"-395,84999999999997",29,"545,2799999999999","5,15,30"
75,"155,98",36,7,0,"-381,34",27,"537,3199999999999","5,15,35"
75,"128,50","38,67",4,0,"-399,3599999999999",29,"527,86","5,15,40"
138,"302,25","39,86",9,0,"-431,7199999999999",55,"733,9700000000001","5,20,5"
109,"361,23","44,95",5,0,"-305,6300000000001",49,"666,8599999999998","5,20,10"
93,"244,74","40,86",7,0,"-356,71",38,"601,4499999999999","5,20,15"
85,"151,25","35,29",5,0,"-390,05",30,"541,2999999999998","5,20,20"
73,"139,81","38,36",4,0,"-391,74000000000007",28,"531,55","5,20,25"
69,"-68,07","42,03",5,0,"-482,0400000000001",29,"413,96999999999997","5,20,30"
69,"69,28","40,58",4,0,"-434,3600000000001",28,"503,6400000000001","5,20,35"
75,"-33,35","34,67",8,0,"-497,0100000000002",26,"463,66000000000014","5,20,40"
136,"369,68","38,97",6,0,"-404,4499999999999",53,"774,1299999999999","5,25,5"
110,"282,54",40,7,0,"-366,89000000000004",44,"649,4299999999998","5,25,10"
89,"121,46","34,83",5,0,"-411,9100000000001",31,"533,3699999999999","5,25,15"
73,"139,81","38,36",4,0,"-391,74000000000007",28,"531,55","5,25,20"
71,"72,13","39,44",7,0,"-440,16",28,"512,29","5,25,25"
71,"-1,36","36,62",8,0,"-480,5300000000002",26,"479,17000000000013","5,25,30"
75,"21,74","33,33",6,0,"-444,81999999999994",25,"466,5600000000001","5,25,35"
