Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
3893,"-160,24","36,58",16,0,"-3293,93",1424,"3133,6900000000023","5,10,5"
3231,"209,08","36,86",16,0,"-2839,4500000000016",1191,"3048,5300000000025","5,10,10"
2857,"416,79","37,7",13,0,"-2573,1199999999985",1077,"2989,9100000000067","5,10,15"
2674,"512,01","37,88",14,0,"-2423,8099999999954",1013,"2935,820000000007","5,10,20"
2638,"330,57","36,54",19,0,"-2474,000000000001",964,"2804,5700000000024","5,10,25"
2530,"592,01","36,01",15,0,"-2258,8200000000024",911,"2850,8300000000013","5,10,30"
2499,"412,15","35,57",14,0,"-2342,3100000000063",889,"2754,4600000000046","5,10,35"
2446,"426,29","34,75",17,0,"-2252,130000000003",850,"2678,420000000003","5,10,40"
3753,"282,13","36,88",15,0,"-3002,39",1384,"3284,520000000005","5,15,5"
3003,"355,83","37,4",13,0,"-2672,6299999999983",1123,"3028,460000000007","5,15,10"
2686,"472,64","36,78",12,0,"-2462,219999999997",988,"2934,8600000000038","5,15,15"
2500,"481,76","37,2",14,0,"-2315,1400000000062",930,"2796,9000000000046","5,15,20"
2428,"341,6","34,6",17,0,"-2321,830000000006",840,"2663,4300000000007","5,15,25"
2350,"393,04","35,06",14,0,"-2223,8800000000024",824,"2616,920000000002","5,15,30"
2250,"439,46","35,16",16,0,"-2161,4700000000034",791,"2600,9299999999994","5,15,35"
2146,"462,23","35,09",14,0,"-2100,0300000000034",753,"2562,2600000000016","5,15,40"
3681,"317,53","35,89",16,0,"-2911,449999999997",1321,"3228,9800000000087","5,20,5"
2852,"554,77","37,55",14,0,"-2503,7199999999966",1071,"3058,490000000008","5,20,10"
2538,"460,6","36,96",14,0,"-2338,5100000000057",938,"2799,110000000004","5,20,15"
2361,"421,36","34,73",19,0,"-2249,9800000000073",820,"2671,3399999999997","5,20,20"
2230,"487,09","35,52",16,0,"-2134,0400000000054",792,"2621,129999999999","5,20,25"
2086,"453,44","35,62",15,0,"-2095,420000000003",743,"2548,8599999999983","5,20,30"
2022,"349,5","34,82",15,0,"-2069,8600000000015",704,"2419,3600000000006","5,20,35"
1982,"420,9","35,17",16,0,"-2008,0200000000007",697,"2428,92","5,20,40"
3541,"422,52","35,7",14,0,"-2773,989999999998",1264,"3196,510000000005","5,25,5"
2796,"410,15","36,02",19,0,"-2506,3600000000024",1007,"2916,5100000000025","5,25,10"
2478,"317,94","34,5",17,0,"-2358,5600000000068",855,"2676,500000000001","5,25,15"
2244,"485,29","35,52",16,0,"-2139,7800000000057",797,"2625,0699999999993","5,25,20"
2076,"451,79","35,55",15,0,"-2085,8500000000045",738,"2537,6399999999985","5,25,25"
1968,"530,29","35,37",17,0,"-1962,640000000002",696,"2492,930000000002","5,25,30"
1914,"362,29","34,43",17,0,"-1966,290000000003",659,"2328,580000000001","5,25,35"
1885,"517,75","33,9",18,0,"-1849,3500000000008",639,"2367,0999999999985","5,25,40"
