Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
4062,"113,99","36,24",18,0,"-1550,9900000000002",1472,"1664,9799999999975","5,10 ,5"
3384,"-9,85","35,4",17,0,"-1497,3700000000056",1198,"1487,5199999999993","5,10,10"
3036,"-40,50","34,16",23,0,"-1418,3700000000008",1037,"1377,8699999999992","5,10,15"
2858,"-54,98","34,25",16,0,"-1362,5600000000006",979,"1307,5799999999974","5,10,20"
2730,"-41,75","33,99",14,0,"-1325,7000000000007",928,"1283,9499999999973","5,10,25"
2638,"27,40","33,02",18,0,"-1290,019999999999",871,"1317,4199999999987","5,10,30"
2582,"-37,43","32,46",16,0,"-1273,1799999999992",838,"1235,7499999999961","5,10,35"
2544,"19,75","32,08",17,0,"-1245,4000000000021",816,"1265,149999999997","5,10,40"
3902,"61,52","36,14",14,0,"-1520,0200000000011",1410,"1581,5399999999972","5,15,5"
3156,"-12,79","34,13",23,0,"-1429,7300000000014",1077,"1416,9399999999998","5,15,10"
2816,"-37,93","33,7",19,0,"-1367,7400000000005",949,"1329,8099999999974","5,15,15"
2592,"31,84","33,99",18,0,"-1277,959999999997",881,"1309,7999999999965","5,15,20"
2484,"39,72","33,57",16,0,"-1228,320000000002",834,"1268,0399999999963","5,15,25"
2378,"16,02","32,67",18,0,"-1211,060000000002",777,"1227,0799999999979","5,15,30"
2330,"19,02","32,58",15,0,"-1179,0500000000013",759,"1198,069999999998","5,15,35"
2235,"15,24","33,47",16,0,"-1162,830000000001",748,"1178,07","5,15,40"
3818,"66,95","35,33",17,0,"-1490,5400000000031",1349,"1557,4899999999984","5,20,5"
3018,"-26,19","34,29",16,0,"-1390,05",1035,"1363,859999999997","5,20,10"
2616,"24,53","33,79",18,0,"-1285,7399999999977",884,"1310,2699999999966","5,20,15"
2454,"-33,07","33,05",16,0,"-1251,740000000001",811,"1218,6699999999983","5,20,20"
2306,"32,16","33,26",15,0,"-1185,18",767,"1217,3399999999983","5,20,25"
2184,"24,35","32,51",15,0,"-1164,6500000000024",710,"1188,9999999999986","5,20,30"
2119,"56,93","32,99",22,0,"-1114,7500000000005",699,"1171,6799999999987","5,20,35"
2054,"100,11","33,35",22,0,"-1062,3599999999994",685,"1162,4700000000005","5,20,40"
3688,"80,14","34,49",19,0,"-1456,320000000003",1272,"1536,4599999999982","5,25,5"
2856,"-12,91","33,72",16,0,"-1338,9300000000005",963,"1326,019999999997","5,25,10"
2526,"35,03","33,49",16,0,"-1240,6100000000017",846,"1275,6399999999967","5,25,15"
2318,"29,61","33,22",15,0,"-1189,13",770,"1218,7399999999986","5,25,20"
2194,"40,86","32,95",18,0,"-1149,4900000000025",723,"1190,3499999999983","5,25,25"
2052,"61,46","32,65",22,0,"-1086,100000000001",670,"1147,5600000000002","5,25,30"
1958,"59,94","32,48",25,0,"-1056,8599999999997",636,"1116,7999999999993","5,25,35"
1936,"142,18","33,26",20,0,"-1012,2499999999995",644,"1154,4299999999973","5,25,40"
