Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
4010,"16,96","41,95",13,0,"-491,47999999999917",1682,"508,43999999999915","5,10,5"
3896,"11,43","41,07",17,0,"-476,5799999999987",1600,"488,0099999999991","5,10,10"
3740,"26,69","40,91",16,0,"-442,92999999999967",1530,"469,6199999999992","5,10,15"
3602,"21,42","40,17",13,0,"-429,6499999999979",1447,"451,06999999999925","5,10,20"
3372,"0,83","38,94",18,0,"-428,14999999999816",1313,"428,9799999999996","5,10,25"
3285,"3,78","38,81",16,0,"-416,87999999999926",1275,"420,66000000000025","5,10,30"
3307,"40,25","39,25",13,0,"-394,16999999999905",1298,"434,4199999999998","5,10,35"
3258,"15,15","38,77",13,0,"-403,40999999999946",1263,"418,5600000000003","5,10,40"
4735,"52,39","40,53",14,0,"-496,7699999999984",1919,"549,1599999999988","5,15,5"
4490,"12,00","39,15",18,0,"-488,30999999999824",1758,"500,3099999999986","5,15,10"
4072,"12,26","38,7",15,0,"-457,49999999999784",1576,"469,75999999999954","5,15,15"
3812,"55,26","38,88",18,0,"-417,59",1482,"472,8499999999996","5,15,20"
3648,"6,02","37,55",16,0,"-432,91",1370,"438,9299999999993","5,15,25"
3514,"10,61","37,51",16,0,"-415,3499999999993",1318,"425,9599999999999","5,15,30"
3467,"20,45","37,32",14,0,"-410,0599999999997",1294,"430,51000000000005","5,15,35"
3372,"18,29","36,63",14,0,"-403,84000000000015",1235,"422,1299999999997","5,15,40"
5027,"31,86","39,98",18,0,"-517,2799999999975",2010,"549,1399999999988","5,20,5"
4464,"26,60","39,09",14,0,"-471,8699999999968",1745,"498,4699999999987","5,20,10"
4030,"45,85","38,31",18,0,"-432,87999999999874",1544,"478,72999999999956","5,20,15"
3699,"8,66","37,31",20,0,"-429,52999999999895",1380,"438,18999999999994","5,20,20"
3563,"14,20","37,69",14,0,"-420,87999999999954",1343,"435,0799999999996","5,20,25"
3451,"2,40","35,53",18,0,"-419,4300000000004",1226,"421,8299999999994","5,20,30"
3416,"-11,72","36,09",14,0,"-418,75999999999954",1233,"407,0399999999999","5,20,35"
3347,"-1,46","35,61",18,0,"-403,8499999999995",1192,"402,38999999999976","5,20,40"
5030,"6,14","39,05",17,0,"-513,0999999999983",1964,"519,2399999999986","5,25,5"
4330,"21,15","38,34",15,0,"-464,7299999999971",1660,"485,87999999999886","5,25,10"
3920,"2,54","37,19",16,0,"-446,8099999999987",1458,"449,3499999999995","5,25,15"
3653,"15,54","37,39",14,0,"-426,17999999999944",1366,"441,7199999999996","5,25,20"
3521,"8,83","35,1",16,0,"-424,8300000000001",1236,"433,65999999999974","5,25,25"
3332,"16,70","36,28",15,0,"-396,90999999999985",1209,"413,60999999999996","5,25,30"
3255,"41,91","36,56",14,0,"-372,7099999999995",1190,"414,6199999999996","5,25,35"
3136,"8,90","35,27",14,0,"-383,9899999999989",1106,"392,8899999999991","5,25,40"
5005,"36,05","38,6",19,0,"-499,6499999999983",1932,"535,6999999999989","5,30,5"
4305,"7,94","37,47",16,0,"-472,43",1613,"480,36999999999955","5,30,10"
3874,"-0,58","37,02",14,0,"-439,09999999999883",1434,"438,5199999999998","5,30,15"
3649,"7,55","35,52",17,0,"-423,49000000000024",1296,"431,0399999999994","5,30,20"
3402,"15,74","36,13",15,0,"-401,24999999999983",1229,"416,98999999999995","5,30,25"
3292,"32,72","36,97",14,0,"-382,8399999999991",1217,"415,5599999999997","5,30,30"
3190,"36,52","34,61",16,0,"-377,85999999999973",1104,"414,38","5,30,35"
3153,"21,83","35,11",17,0,"-382,40999999999906",1107,"404,23999999999984","5,30,40"
5034,"19,69","37,74",17,0,"-502,7499999999974",1900,"522,4399999999985","5,35,5"
4297,"46,87",38,15,0,"-443,8",1633,"490,66999999999865","5,35,10"
3861,"20,50","36,67",14,0,"-429,5999999999991",1416,"450,1000000000002","5,35,15"
3598,"-4,43","35,8",14,0,"-424,86999999999955",1288,"420,43999999999994","5,35,20"
3325,"47,93","36,66",14,0,"-374,36999999999955",1219,"422,29999999999956","5,35,25"
3220,"38,69","34,57",16,0,"-377,6499999999995",1113,"416,3399999999999","5,35,30"
3163,"16,60","34,56",15,0,"-386,8099999999994",1093,"403,40999999999946","5,35,35"
2861,"-7,56","34,81",15,0,"-376,32999999999976",996,"368,7699999999996","5,35,40"
5108,"9,36","37,74",16,0,"-508,7099999999977",1928,"518,0699999999986","5,40,5"
4308,"6,75","36,49",13,0,"-462,49999999999784",1572,"469,24999999999943","5,40,10"
3783,"24,00","36,58",19,0,"-421,5299999999999",1384,"445,5299999999994","5,40,15"
3573,"-1,62","35,57",18,0,"-412,6999999999993",1271,"411,0799999999997","5,40,20"
3257,"8,74","34,97",16,0,"-391,03",1139,"399,76999999999896","5,40,25"
3203,"20,95","35,06",17,0,"-385,5199999999991",1123,"406,4699999999997","5,40,30"
2883,"-9,68","34,62",15,0,"-378,2399999999998",998,"368,55999999999955","5,40,35"
2886,"-21,45","32,71",24,0,"-387,4700000000003",944,"366,01999999999975","5,40,40"
5072,"12,43","37,84",15,0,"-503,23999999999694",1919,"515,6699999999984","5,45,5"
4196,"16,79","36,39",16,0,"-449,0699999999979",1527,"465,8599999999997","5,45,10"
3810,"4,24","35,07",17,0,"-428,74999999999983",1336,"432,9899999999998","5,45,15"
3460,"9,12","35,17",16,0,"-404,2399999999993",1217,"413,3599999999998","5,45,20"
3204,"11,42","34,64",16,0,"-392,94999999999874",1110,"404,36999999999944","5,45,25"
3021,"-2,10","34,62",16,0,"-387,23999999999955",1046,"385,1399999999995","5,45,30"
2918,"10,77","34,1",23,0,"-369,28000000000077",995,"380,0499999999999","5,45,35"
2821,"21,79","33,82",18,0,"-357,30000000000064",954,"379,0899999999997","5,45,40"
5076,"4,29","37,14",18,0,"-505,9699999999977",1885,"510,25999999999834","5,50,5"
4223,"12,09","36,47",18,0,"-448,3099999999973",1540,"460,3999999999989","5,50,10"
3720,"20,33","35,83",24,0,"-422,3899999999995",1333,"442,7199999999998","5,50,15"
3459,"24,09","35,44",19,0,"-391,3599999999995",1226,"415,44999999999936","5,50,20"
3193,"9,93","35,01",16,0,"-386,4199999999994",1118,"396,34999999999957","5,50,25"
2981,"7,36","33,48",17,0,"-371,1300000000007",998,"378,4899999999995","5,50,30"
2929,"5,52","32,71",18,0,"-370,78000000000003",958,"376,29999999999967","5,50,35"
2812,"22,68","33,75",18,0,"-359,42000000000075",949,"382,09999999999906","5,50,40"
5058,"10,91","37,37",20,0,"-499,7599999999976",1890,"510,6699999999984","5,55,5"
4250,"-9,18","35,72",21,0,"-458,96999999999815",1518,"449,78999999999905","5,55,10"
3647,"10,84","34,85",24,0,"-415,11999999999955",1271,"425,96","5,55,15"
3413,"31,31","34,54",19,0,"-391,5499999999993",1179,"422,85999999999905","5,55,20"
3191,"-6,67","33,88",14,0,"-398,74999999999994",1081,"392,07999999999976","5,55,25"
2945,"-20,06","33,04",19,0,"-383,4300000000003",973,"363,36999999999983","5,55,30"
2855,"-18,32","32,68",18,0,"-380,46000000000026",933,"362,13999999999965","5,55,35"
2755,"-15,31","33,32",19,0,"-369,0499999999998",918,"353,7399999999992","5,55,40"
5026,"1,89","36,81",20,0,"-505,1899999999973",1850,"507,07999999999834","5,60,5"
4198,"16,28","35,66",15,0,"-445,87999999999863",1497,"462,1599999999992","5,60,10"
3726,"3,96","34,17",16,0,"-417,24999999999983",1273,"421,20999999999964","5,60,15"
3339,"-4,28","35,1",19,0,"-401,8799999999993",1172,"397,5999999999992","5,60,20"
3153,"-11,81","33,68",16,0,"-394,60000000000014",1062,"382,7899999999999","5,60,25"
2949,"16,69","33,1",23,0,"-365,0300000000007",976,"381,7200000000001","5,60,30"
2762,"10,22","33,49",20,0,"-355,5600000000001",925,"365,77999999999884","5,60,35"
2631,"12,01","32,38",21,0,"-348,70999999999964",852,"360,7199999999994","5,60,40"
780,"18,96","46,28",10,0,"-218,79000000000022",361,"237,75000000000014","10,15,5"
948,"27,01","47,57",8,0,"-239,2700000000003",451,"266,27999999999975","10,15,10"
1011,"-46,28","44,61",9,0,"-278,9200000000003",451,"232,64","10,15,15"
957,"-7,71","44,72",10,0,"-249,32999999999996",428,"241,6200000000002","10,15,20"
912,"-8,55","42,32",10,0,"-244,64000000000004",386,"236,08999999999997","10,15,25"
911,"8,60","42,7",12,0,"-240,69999999999993",389,"249,30000000000013","10,15,30"
858,"22,17","44,52",11,0,"-228,36000000000013",382,"250,52999999999986","10,15,35"
866,"30,29","43,42",10,0,"-225,39000000000004",376,"255,68000000000004","10,15,40"
1462,"34,97","44,8",13,0,"-285,6999999999996",655,"320,6700000000001","10,20,5"
1501,"18,52","43,9",10,0,"-283,8499999999995",659,"302,36999999999966","10,20,10"
1569,"20,83","43,91",11,0,"-292,6800000000001",689,"313,50999999999993","10,20,15"
1472,"5,12","41,71",14,0,"-297,84999999999974",614,"302,96999999999997","10,20,20"
1386,"31,93","43,29",14,0,"-274,1500000000002",600,"306,0799999999998","10,20,25"
1364,"7,77","39,59",14,0,"-284,6500000000002",540,"292,4199999999996","10,20,30"
1307,"40,18","41,55",9,0,"-258,5700000000003",543,"298,7500000000001","10,20,35"
1258,"15,18","40,38",12,0,"-275,36",508,"290,53999999999974","10,20,40"
1774,"25,68","44,98",14,0,"-312,5199999999999",798,"338,20000000000005","10,25,5"
1819,"14,63","42,11",12,0,"-312,0299999999998",766,"326,66000000000025","10,25,10"
1762,"-41,96","40,07",13,0,"-334,93999999999954",706,"292,9800000000002","10,25,15"
1631,"32,37","42,55",14,0,"-294,5500000000002",694,"326,91999999999996","10,25,20"
1585,"-9,26","39,56",12,0,"-305,8300000000001",627,"296,56999999999977","10,25,25"
1512,"10,93","39,75",14,0,"-292,88999999999965",601,"303,8199999999997","10,25,30"
1504,"-11,76","39,56",19,0,"-293,1699999999998",595,"281,41000000000014","10,25,35"
1501,"-27,40","39,04",20,0,"-312,6799999999995",586,"285,28000000000003","10,25,40"
1866,"-0,23","41,37",14,0,"-326,04000000000013",772,"325,80999999999983","10,30,5"
2015,"47,21","42,28",12,0,"-322,59000000000015",852,"369,8","10,30,10"
1837,"20,59","41,59",15,0,"-316,14999999999964",764,"336,73999999999967","10,30,15"
1728,"-10,52","38,37",14,0,"-321,52",663,"310,99999999999983","10,30,20"
1631,"-4,04","38,93",16,0,"-310,5399999999995",635,"306,4999999999999","10,30,25"
1602,"-6,89","38,39",21,0,"-306,8399999999996",615,"299,95","10,30,30"
1537,"-9,73","38,32",14,0,"-307,12999999999977",589,"297,39999999999975","10,30,35"
1491,"22,64","40,58",12,0,"-281,3800000000003",605,"304,01999999999964","10,30,40"
2023,"17,56","40,58",14,0,"-329,65000000000026",821,"347,2099999999996","10,35,5"
2041,"10,13","39,34",13,0,"-337,37999999999977",803,"347,5099999999998","10,35,10"
1849,"5,07","40,51",14,0,"-322,20000000000033",749,"327,2699999999997","10,35,15"
1731,"32,25","40,55",14,0,"-298,61999999999995",702,"330,86999999999983","10,35,20"
1712,"-7,78","38,73",21,0,"-307,85999999999973",663,"300,0800000000002","10,35,25"
