Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
210,"89,93999999999998","32,86",11,0,"-578,3100000000001",69,"668,2499999999998","5,10,5"
166,"142,5","35,54",9,0,"-459,71999999999997",59,"602,2199999999997","5,10,10"
146,"155,21999999999997","34,25",9,0,"-419,65",50,"574,87","5,10,15"
140,"175,20999999999998","32,86",7,0,"-402,91",46,"578,12","5,10,20"
134,"129,97999999999996","29,85",7,0,"-406,34999999999985",40,"536,3299999999999","5,10,25"
123,"122,15000000000009","30,08",9,0,"-417,0699999999999",37,"539,2199999999999","5,10,30"
121,"93,76000000000002","28,1",9,0,"-430,67",34,"524,43","5,10,35"
109,"153,97","31,19",11,0,"-369,96000000000004",34,"523,93","5,10,40"
190,"121,60999999999996","33,16",9,0,"-510,4300000000001",63,"632,0399999999998","5,15,5"
146,"155,21999999999997","34,25",9,0,"-419,65",50,"574,87","5,15,10"
130,"133,35999999999999","33,08",7,0,"-412,6200000000002",43,"545,9799999999999","5,15,15"
117,"99,00999999999998","29,91",7,0,"-429,91999999999985",35,"528,93","5,15,20"
103,"128,29999999999995","31,07",6,0,"-379,27999999999986",32,"507,5799999999999","5,15,25"
93,"126,74","31,18",6,0,"-351,7",29,"478,4399999999999","5,15,30"
93,"131,32","32,26",6,0,"-359,8399999999998",30,"491,1599999999999","5,15,35"
97,"70,17000000000002","27,84",6,0,"-401,5399999999998",27,"471,7099999999999","5,15,40"
180,"132,53000000000003","33,33",9,0,"-493,82000000000005",60,"626,3499999999997","5,20,5"
140,"175,20999999999998","32,86",7,0,"-402,91",46,"578,12","5,20,10"
117,"99,00999999999998","29,91",7,0,"-429,91999999999985",35,"528,93","5,20,15"
103,"101,37","29,13",8,0,"-392,1799999999999",30,"493,55","5,20,20"
87,"131,95","32,18",6,0,"-356,67999999999995",28,"488,62999999999994","5,20,25"
89,"70,29999999999998","29,21",8,0,"-401,92999999999984",26,"472,2299999999999","5,20,30"
87,"97,19000000000003","31,03",6,0,"-389,70999999999987",27,"486,9","5,20,35"
91,"86,08999999999997","28,57",10,0,"-401,30999999999983",26,"487,40000000000003","5,20,40"
180,"138,82","32,22",9,0,"-505,4000000000001",58,"644,2199999999997","5,25,5"
134,"129,97999999999996","29,85",7,0,"-406,34999999999985",40,"536,3299999999999","5,25,10"
103,"128,29999999999995","31,07",6,0,"-379,27999999999986",32,"507,5799999999999","5,25,15"
87,"131,95","32,18",6,0,"-356,67999999999995",28,"488,62999999999994","5,25,20"
