Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
5347,"-221,20999999999984","33,23",16,0,"-2965,5500000000097",1777,"2744,340000000006","5,10,5"
4269,"-96,22999999999999","33,33",17,0,"-2655,8400000000047",1423,"2559,6100000000033","5,10,10"
3808,"14,27000000000005","33,74",17,0,"-2449,130000000002",1285,"2463,400000000001","5,10,15"
3492,"81,54999999999986","33,88",15,0,"-2344,679999999999",1183,"2426,2299999999973","5,10,20"
3406,"46,00999999999994","32,82",17,0,"-2326,689999999999",1118,"2372,7000000000025","5,10,25"
3314,"39,35000000000019","31,86",17,0,"-2283,190000000001",1056,"2322,5400000000045","5,10,30"
3252,"52,07999999999999","31,55",19,0,"-2248,840000000001",1026,"2300,9200000000033","5,10,35"
3166,"31,680000000000053","31,3",21,0,"-2212,5299999999984",991,"2244,210000000001","5,10,40"
4899,"-221,35999999999973","32,54",15,0,"-2852,0400000000095",1594,"2630,6800000000057","5,15,5"
3808,"14,27000000000005","33,74",17,0,"-2449,130000000002",1285,"2463,400000000001","5,15,10"
3336,"83,64999999999996","33,27",17,0,"-2308,17",1110,"2391,8200000000033","5,15,15"
3118,"106,79000000000015","32,62",17,0,"-2175,810000000002",1017,"2282,600000000003","5,15,20"
2912,"106,29999999999998","32,76",20,0,"-2116,139999999999",954,"2222,4400000000023","5,15,25"
2780,"101,91000000000003","32,48",18,0,"-2086,7599999999993",903,"2188,6700000000014","5,15,30"
2660,"122,69000000000001","33,01",18,0,"-2002,079999999995",878,"2124,770000000002","5,15,35"
2568,"180,91999999999982","33,02",14,0,"-1918,9799999999964",848,"2099,899999999999","5,15,40"
4660,"-156,12000000000032","32,1",17,0,"-2757,150000000003",1496,"2601,0300000000025","5,20,5"
3496,"80,47999999999986","33,84",15,0,"-2346,5799999999986",1183,"2427,059999999997","5,20,10"
3120,"105,3000000000002","32,6",17,0,"-2177,430000000002",1017,"2282,7300000000027","5,20,15"
2814,"86,36999999999985","32,44",20,0,"-2103,1299999999997",913,"2189,500000000002","5,20,20"
2608,"152,26000000000022","32,78",17,0,"-1990,7799999999963",855,"2143,0400000000013","5,20,25"
2440,"164,4400000000003","33,52",16,0,"-1895,2199999999948",818,"2059,659999999998","5,20,30"
2398,"203,46000000000018","32,32",15,0,"-1818,439999999998",775,"2021,899999999998","5,20,35"
2340,"183,63999999999987","31,84",16,0,"-1790,7199999999993",745,"1974,3599999999997","5,20,40"
4490,"-109,91000000000018","31,89",16,0,"-2680,720000000009",1432,"2570,8099999999995","5,25,5"
3412,"56,749999999999794","32,85",17,0,"-2323,969999999999",1121,"2380,720000000002","5,25,10"
2912,"106,29999999999998","32,76",20,0,"-2116,139999999999",954,"2222,4400000000023","5,25,15"
2608,"152,26000000000022","32,78",17,0,"-1990,7799999999963",855,"2143,0400000000013","5,25,20"
2412,"201,47999999999985","33,29",15,0,"-1844,2299999999973",803,"2045,7099999999978","5,25,25"
2308,"206,72999999999985","32,54",15,0,"-1772,039999999999",751,"1978,7699999999977","5,25,30"
2256,"209,6899999999991","31,47",17,0,"-1751,0099999999973",710,"1960,6999999999994","5,25,35"
2157,"213,67999999999947","31,34",14,0,"-1730,6699999999992",676,"1944,3500000000004","5,25,40"
