Total Trades,Total Sum,Winrate,Max Negative Trades,Negative Trades,Negative Sum,Positive Trades,Positive Sum,MACD
6199,"-41,26000000000021","33,99",28,0,"-457,29999999999376",2107,"416,0399999999973","5,10,5"
5027,"-73,65000000000006","33,16",35,0,"-433,4899999999961",1667,"359,8399999999982","5,10,10"
4500,"-68,45000000000019","32,38",22,0,"-404,97999999999803",1457,"336,52999999999884","5,10,15"
4216,"-63,04000000000001","32,31",19,0,"-390,57999999999805",1362,"327,53999999999945","5,10,20"
4044,"-61,239999999999924","31,78",17,0,"-382,7799999999976",1285,"321,5399999999993","5,10,25"
3896,"-62,82000000000013","31,21",18,0,"-374,9399999999969",1216,"312,11999999999966","5,10,30"
3820,"-43,50000000000024","30,68",20,0,"-356,2299999999973",1172,"312,73000000000025","5,10,35"
3758,"-48,870000000000246","30,42",24,0,"-356,1299999999976",1143,"307,26000000000005","5,10,40"
5817,"-67,36000000000013","33,32",18,0,"-455,5499999999943",1938,"388,18999999999835","5,15,5"
4500,"-68,45000000000019","32,38",22,0,"-404,97999999999803",1457,"336,52999999999884","5,15,10"
3992,"-60,80999999999994","32,24",15,0,"-381,49999999999807",1287,"320,68999999999954","5,15,15"
3706,"-52,809999999999924","31,44",22,0,"-364,23999999999734",1165,"311,42999999999995","5,15,20"
3532,"-49,430000000000135","30,95",23,0,"-346,3099999999984",1093,"296,8799999999998","5,15,25"
3332,"-37,91999999999995","31,12",19,0,"-334,06999999999897",1037,"296,14999999999986","5,15,30"
3250,"-35,05999999999993","31,2",19,0,"-327,9599999999997",1014,"292,8999999999998","5,15,35"
3164,"-34,079999999999984","30,91",16,0,"-322,57999999999976",978,"288,49999999999955","5,15,40"
5521,"-76,03","32,46",27,0,"-447,01999999999555",1792,"370,9899999999983","5,20,5"
4222,"-63,28999999999999","32,31",19,0,"-390,8299999999981",1364,"327,53999999999945","5,20,10"
3708,"-52,88999999999994","31,42",22,0,"-364,31999999999726",1165,"311,42999999999995","5,20,15"
3396,"-35,80999999999995","31,27",23,0,"-336,2799999999985",1062,"300,4699999999998","5,20,20"
3184,"-30,210000000000015","31,38",19,0,"-322,07999999999976",999,"291,86999999999995","5,20,25"
3044,"-34,44999999999998","30,91",17,0,"-317,89999999999986",941,"283,4499999999997","5,20,30"
2924,"-27,979999999999986","30,47",17,0,"-307,8000000000001",891,"279,8199999999996","5,20,35"
2850,"-38,729999999999954","29,96",16,0,"-311,9200000000001",854,"273,19","5,20,40"
5365,"-81,96000000000024","31,63",24,0,"-442,4199999999963",1697,"360,4599999999986","5,25,5"
4046,"-61,46999999999993","31,76",17,0,"-383,0099999999976",1285,"321,5399999999993","5,25,10"
3536,"-49,76000000000013","30,88",23,0,"-346,61999999999836",1092,"296,85999999999984","5,25,15"
3184,"-30,210000000000015","31,38",19,0,"-322,07999999999976",999,"291,86999999999995","5,25,20"
2974,"-35,98999999999996","30,67",17,0,"-315,66000000000014",912,"279,6699999999998","5,25,25"
2842,"-42,24999999999993","29,7",16,0,"-314,1000000000003",844,"271,84999999999985","5,25,30"
2750,"-36,849999999999966","29,38",19,0,"-306,4299999999996",808,"269,5799999999999","5,25,35"
2662,"-35,330000000000005","28,7",16,0,"-298,4100000000005",764,"263,0800000000001","5,25,40"
5241,"-58,15000000000022","31,39",22,0,"-418,4999999999966",1645,"360,3499999999985","5,30,5"
3902,"-62,92000000000014","31,19",18,0,"-375,25999999999686",1217,"312,33999999999963","5,30,10"
3338,"-35,949999999999946","31,16",19,0,"-333,08",1040,"297,1299999999999","5,30,15"
3046,"-34,38999999999999","30,93",17,0,"-317,86999999999983",942,"283,47999999999973","5,30,20"
2846,"-42,38999999999993","29,66",16,0,"-314,2400000000003",844,"271,84999999999985","5,30,25"
2736,"-35,819999999999936","29,09",16,0,"-305,4099999999996",796,"269,5899999999999","5,30,30"
2600,"-38,77999999999993","28,62",14,0,"-295,9400000000004",744,"257,16000000000014","5,30,35"
2512,"-41,719999999999914","28,5",13,0,"-291,2900000000005",716,"249,57000000000014","5,30,40"
5210,"-58,910000000000124","30,63",28,0,"-415,02999999999685",1596,"356,11999999999864","5,35,5"
3836,"-43,33000000000024","30,63",19,0,"-356,50999999999726",1175,"313,18000000000023","5,35,10"
3248,"-34,92999999999992","31,22",19,0,"-327,7099999999997",1014,"292,7799999999998","5,35,15"
2926,"-31,869999999999987","30,42",17,0,"-309,89000000000004",890,"278,01999999999975","5,35,20"
2750,"-36,80999999999997","29,38",19,0,"-306,38999999999953",808,"269,5799999999999","5,35,25"
2606,"-37,129999999999924","28,66",14,0,"-295,80000000000047",747,"258,6700000000001","5,35,30"
2498,"-43,590000000000046","28,18",16,0,"-291,3100000000002",704,"247,72000000000037","5,35,35"
2410,"-46,34","28,05",16,0,"-287,4500000000003",676,"241,10999999999999","5,35,40"
5098,"-60,50000000000018","30,66",28,0,"-412,66",1563,"352,1599999999992","5,40,5"
3768,"-49,58000000000024","30,33",24,0,"-356,82999999999754",1143,"307,25000000000006","5,40,10"
3174,"-35,19999999999997","30,97",16,0,"-323,9499999999998",983,"288,74999999999955","5,40,15"
2848,"-39,78999999999996","29,95",16,0,"-313,17999999999995",853,"273,39","5,40,20"
2668,"-34,17999999999995","28,82",15,0,"-298,46000000000043",769,"264,2800000000001","5,40,25"
2520,"-43,14","28,45",13,0,"-292,28000000000054",717,"249,14000000000019","5,40,30"
2416,"-48,650000000000134","27,98",16,0,"-288,7600000000003",676,"240,10999999999999","5,40,35"
2274,"-27,52999999999998","28,5",17,0,"-271,21000000000026",648,"243,67999999999992","5,40,40"
5046,"-61,30000000000016","30,64",28,0,"-412,0599999999969",1546,"350,7599999999991","5,45,5"
3720,"-48,760000000000254","30,03",23,0,"-354,2599999999979",1117,"305,4999999999999","5,45,10"
3114,"-37,94000000000001","30,54",16,0,"-320,93999999999926",951,"282,9999999999997","5,45,15"
2822,"-42,03999999999997","29,09",19,0,"-312,25999999999954",821,"270,22000000000014","5,45,20"
2630,"-40,36999999999993","28,17",15,0,"-298,9300000000002",741,"258,56","5,45,25"
2478,"-41,620000000000026","27,89",17,0,"-289,5600000000005",691,"247,93999999999994","5,45,30"
2300,"-25,37999999999996","28,61",17,0,"-271,84000000000026",658,"246,46000000000004","5,45,35"
2190,"-22,85999999999999",29,15,0,"-261,46",635,"238,60000000000016","5,45,40"
4998,"-63,790000000000134","30,39",21,0,"-412,86",1519,"349,07","5,50,5"
3650,"-40,44","30,08",22,0,"-344,63",1098,"304,18999999999977","5,50,10"
3088,"-39,12000000000002","29,83",16,0,"-319,8799999999992",921,"280,7599999999997","5,50,15"
2770,"-40,459999999999944","28,63",17,0,"-307,12999999999937",793,"266,67000000000013","5,50,20"
2586,"-41,43999999999993","28,27",15,0,"-293,52000000000027",731,"252,08000000000015","5,50,25"
2412,"-36,850000000000065","27,69",17,0,"-282,87999999999994",668,"246,0300000000001","5,50,30"
2224,"-25,869999999999987","28,64",15,0,"-265,8400000000003",637,"239,9700000000002","5,50,35"
2118,"-26,71","28,75",18,0,"-258,64000000000084",609,"231,92999999999998","5,50,40"
4960,"-55,73000000000025","30,46",21,0,"-405,35999999999666",1511,"349,6299999999989","5,55,5"
3608,"-38,310000000000024","29,79",20,0,"-338,14999999999816",1075,"299,8399999999998","5,55,10"
3034,"-35,990000000000016","29,27",16,0,"-314,2799999999989",888,"278,2899999999999","5,55,15"
2760,"-42,86999999999996","27,75",17,0,"-305,41999999999945",766,"262,55000000000024","5,55,20"
2542,"-41,80999999999999","27,81",16,0,"-291,49000000000035",707,"249,68000000000012","5,55,25"
2318,"-26,62999999999997","28,17",17,0,"-271,9900000000004",653,"245,35999999999987","5,55,30"
2176,"-24,589999999999968","28,31",16,0,"-259,8800000000009",616,"235,2900000000001","5,55,35"
2080,"-27,289999999999985","28,22",18,0,"-255,62000000000077",587,"228,33000000000007","5,55,40"
4916,"-58,780000000000264","30,29",20,0,"-404,45999999999634",1489,"345,67999999999876","5,60,5"
3604,"-42,53000000000009","29,63",20,0,"-340,52999999999764",1068,"297,9999999999997","5,60,10"
3016,"-46,540000000000006","28,78",16,0,"-320,5599999999992",868,"274,0199999999999","5,60,15"
2702,"-37,269999999999904","28,05",17,0,"-298,79999999999984",758,"261,53000000000026","5,60,20"
2504,"-40,33999999999999","27,36",16,0,"-287,6200000000001",685,"247,28000000000014","5,60,25"
2268,"-28,439999999999973","28,31",16,0,"-269,5800000000004",642,"241,14000000000016","5,60,30"
2148,"-29,279999999999994","28,31",18,0,"-260,9200000000008",608,"231,64000000000001","5,60,35"
2036,"-26,400000000000002","27,85",17,0,"-251,78000000000065",567,"225,3800000000001","5,60,40"
4440,"-67,84000000000023","32,45",22,0,"-402,45999999999816",1441,"334,61999999999887","10,15,5"
3412,"-58,56000000000003","33,26",22,0,"-362,0399999999984",1135,"303,47999999999973","10,15,10"
2942,"-30,41999999999999","34,09",15,0,"-319,4199999999997",1003,"289,00000000000017","10,15,15"
2694,"-24,79999999999998","33,41",18,0,"-304,0100000000011",900,"279,21","10,15,20"
2534,"-18,40999999999999","32,56",17,0,"-291,0300000000003",825,"272,6200000000005","10,15,25"
2450,"-22,600000000000016","32,04",14,0,"-288,0500000000002",785,"265,45000000000005","10,15,30"
2350,"-28,709999999999933","31,62",14,0,"-287,35000000000065",743,"258,63999999999993","10,15,35"
2304,"-31,88999999999989","30,95",15,0,"-286,4100000000002",713,"254,52000000000012","10,15,40"
4186,"-63,879999999999995","32,23",17,0,"-390,31999999999806",1349,"326,43999999999954","10,20,5"
3170,"-61,339999999999975","32,81",17,0,"-351,58999999999975",1040,"290,2499999999999","10,20,10"
2704,"-24,939999999999976","33,39",18,0,"-304,3800000000011",903,"279,43999999999994","10,20,15"
2472,"-20,579999999999984","32,56",14,0,"-289,9600000000002",805,"269,38","10,20,20"
2336,"-17,75","32,02",17,0,"-278,97000000000065",748,"261,2200000000001","10,20,25"
2236,"-33,64999999999995","31,22",16,0,"-282,58000000000027",698,"248,93000000000026","10,20,30"
2110,"-34,97","31,52",14,0,"-278,06000000000034",665,"243,09000000000012","10,20,35"
2052,"-33,05999999999998","31,43",14,0,"-272,81000000000023",645,"239,7500000000001","10,20,40"
4012,"-60,41999999999988","31,93",17,0,"-381,13999999999794",1281,"320,7199999999993","10,25,5"
2986,"-31,28999999999995","32,79",17,0,"-320,96000000000026",979,"289,66999999999996","10,25,10"
2560,"-20,62999999999999","32,54",17,0,"-293,13000000000034",833,"272,50000000000045","10,25,15"
2338,"-17,969999999999995","31,99",17,0,"-279,09000000000066",748,"261,1200000000001","10,25,20"
