Rsi_limit,Count_deal,Max_growth_deal,Max_drawdown_deal,Max_growth_depo,Max_drawdown_depo,Avg_profit_deal,Avg_loss_deal,Winrate
(30 - 70),156,17.03,72.48,64.93,179.84,3.91,-8.82,62.18
(29 - 71),146,17.03,74.39,76.21,151.0,4.15,-9.41,63.7
(28 - 72),122,17.03,74.39,45.32,186.5,4.11,-10.89,63.11
(27 - 73),116,18.88,71.6,79.76,115.7,4.64,-11.11,66.38
(26 - 74),98,18.88,71.6,73.06,206.72,4.31,-10.66,58.16
(25 - 75),84,20.15,71.6,72.41,180.08,5.17,-11.97,58.33
(24 - 76),69,20.14,71.6,45.26,227.13,5.87,-12.3,50.72
(23 - 77),63,20.67,57.01,38.56,185.11,5.97,-12.74,53.97
(22 - 78),55,24.83,57.01,31.3,197.3,6.44,-13.77,52.73
(21 - 79),45,27.17,65.79,25.58,235.83,6.46,-15.27,48.89
(20 - 80),41,27.17,65.79,25.81,179.68,7.87,-16.28,53.66
(19 - 81),35,25.04,50.54,51.66,140.63,8.4,-16.33,57.14
(18 - 82),27,27.17,49.59,53.48,148.16,10.97,-16.9,48.15
(17 - 83),25,36.05,47.38,69.34,149.08,13.01,-16.51,48.0
(16 - 84),19,21.98,110.57,52.35,183.99,11.59,-23.82,47.37
(15 - 85),17,51.28,110.57,121.12,137.4,17.74,-21.66,52.94
(14 - 86),11,51.28,110.57,154.31,54.64,26.82,-20.61,63.64
(13 - 87),5,122.5,80.41,48.83,80.9,39.95,-26.96,40.0
(12 - 88),5,122.5,80.41,48.83,80.9,39.95,-26.96,40.0
(11 - 89),5,122.5,80.41,47.66,82.48,39.36,-27.49,40.0
(10 - 90),4,122.5,80.41,31.08,82.48,31.08,-27.49,25.0
(9 - 91),2,136.47,46.08,10.46,22.22,10.46,-22.22,50.0
(8 - 92),0,136.47,46.08,0.0,0.0,,,
(7 - 93),0,136.47,46.08,0.0,0.0,,,
(6 - 94),0,136.47,46.08,0.0,0.0,,,
(5 - 95),0,136.47,46.08,0.0,0.0,,,
(4 - 96),0,136.47,46.08,0.0,0.0,,,
(3 - 97),0,136.47,46.08,0.0,0.0,,,
(2 - 98),0,136.47,46.08,0.0,0.0,,,
(1 - 99),0,136.47,46.08,0.0,0.0,,,
(0 - 100),0,136.47,46.08,0.0,0.0,,,
