Rsi_limit,Count_deal,Max_growth_deal,Max_drawdown_deal,Max_growth_depo,Max_drawdown_depo,Avg_profit_deal,Avg_loss_deal,Winrate
(30 - 70),1705,13.73,31.02,66.95,106.16,1.24,-2.44,65.1
(29 - 71),1503,14.45,31.55,69.46,105.72,1.34,-2.57,64.67
(28 - 72),1319,14.45,38.13,65.77,112.62,1.42,-2.76,64.75
(27 - 73),1141,14.45,38.13,103.63,106.78,1.59,-2.99,65.21
(26 - 74),967,10.95,38.13,67.85,92.16,1.73,-3.21,64.01
(25 - 75),835,12.47,35.94,70.57,108.92,1.82,-3.44,63.59
(24 - 76),725,13.82,39.31,58.84,161.64,1.92,-3.56,61.66
(23 - 77),623,13.98,39.31,64.08,120.79,2.14,-3.86,62.28
(22 - 78),524,14.26,47.17,91.91,153.65,2.31,-4.21,63.17
(21 - 79),458,15.53,47.17,91.54,109.71,2.5,-4.7,65.94
(20 - 80),372,14.26,44.9,84.27,118.61,2.73,-5.34,65.86
(19 - 81),312,20.93,44.9,68.5,168.08,2.93,-5.7,64.42
(18 - 82),266,20.93,44.9,53.46,193.44,2.9,-6.5,63.91
(17 - 83),217,15.54,48.06,54.12,189.28,3.13,-7.63,64.06
(16 - 84),157,18.15,46.23,33.07,210.04,3.24,-8.78,62.42
(15 - 85),129,41.12,56.11,98.85,182.67,4.18,-9.62,62.79
(14 - 86),99,41.12,61.68,96.47,139.78,5.04,-10.6,62.63
(13 - 87),75,41.12,61.68,111.7,98.85,6.21,-11.31,62.67
(12 - 88),51,29.09,52.46,98.24,58.38,7.58,-12.13,62.75
(11 - 89),35,31.09,74.78,54.92,116.18,7.7,-17.73,60.0
(10 - 90),27,37.81,74.78,110.27,154.27,9.77,-19.58,59.26
(9 - 91),13,40.96,57.66,91.3,60.3,17.1,-21.15,61.54
(8 - 92),7,42.41,57.66,40.71,60.3,28.46,-18.27,28.57
(7 - 93),5,41.78,79.55,45.04,16.21,15.92,-11.56,60.0
(6 - 94),3,41.78,79.55,7.08,35.37,4.89,-35.37,66.67
(5 - 95),0,0.12,58.13,0.0,0.0,,,
(4 - 96),0,,,0.0,0.0,,,
(3 - 97),0,,,0.0,0.0,,,
(2 - 98),0,,,0.0,0.0,,,
(1 - 99),0,,,0.0,0.0,,,
(0 - 100),0,,,0.0,0.0,,,
